,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_cl,param_epochs,param_k,param_n,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
18,50.503363037109374,1.4565438747406005,0.08737854705514195,0.08737211285907531,4,50,1.5,16,"{'cl': 4, 'epochs': 50, 'k': 1.5, 'n': 16}",1,0.0866034014202724,0.08722315902743384,0.08701935661173313,0.08736580763464775,0.08668146526145044,0.08744101330777194,0.08794646313257307,0.08735872498739546,0.08864204884968072,0.08747185933812757,0.6267249622154702,0.016618245327092773,0.0007918026285378374,8.614274994193409e-05
22,82.74029655456543,1.7814098834991454,0.08238757472729015,0.08238111563096537,4,50,2,32,"{'cl': 4, 'epochs': 50, 'k': 2, 'n': 32}",2,0.08171895508454224,0.08228877715975325,0.08173068041834876,0.08222429732853007,0.08173856424672582,0.0824328326036997,0.08301258769547828,0.0824266715305988,0.08373708619135563,0.08253299953224504,0.3801702221336882,0.027707236933540904,0.0008380452691493176,0.0001103966285469152
19,69.8324324131012,1.5592191696166993,0.0727159604708725,0.07270880873515227,4,50,1.5,32,"{'cl': 4, 'epochs': 50, 'k': 1.5, 'n': 32}",3,0.07218004658678982,0.07249246405385365,0.0724189739639514,0.07270116602706019,0.07204570955483713,0.07269202270240427,0.07327042109219828,0.07271271992788136,0.07366465115658591,0.07294567096456189,0.2810446200526914,0.02106826467120504,0.0006375078924456339,0.00014371097115951868
21,54.38077373504639,1.6573075771331787,0.0711864574072517,0.07117818827941039,4,50,2,16,"{'cl': 4, 'epochs': 50, 'k': 2, 'n': 16}",4,0.07067606563323012,0.07086237109153071,0.07082578456290414,0.071097719056584,0.07058826088905334,0.0712303956535375,0.07161152258376095,0.0712644342228631,0.07223065336730992,0.07143602137253663,0.054434509599571926,0.015688863413023304,0.0006355233033187769,0.00019123685239453948
20,107.75635552406311,1.6654539585113526,0.06821306860335519,0.06820720062356128,4,50,1.5,48,"{'cl': 4, 'epochs': 50, 'k': 1.5, 'n': 48}",5,0.06774336406003649,0.06804485953299799,0.06782250990655934,0.06820676051010595,0.06752270682949886,0.06818731895117001,0.06870940118749565,0.06822419465980797,0.06926736103318562,0.0683728694637245,0.16114679292655154,0.032688860901665555,0.0006644751905280517,0.00010438876007615694
23,130.87839756011962,1.9362832069396974,0.06189267369352768,0.06188640226827603,4,50,2,48,"{'cl': 4, 'epochs': 50, 'k': 2, 'n': 48}",6,0.06152333291334527,0.06164780001495486,0.06154276778764814,0.06185632728249113,0.06130879762295251,0.06189294096743949,0.0623313503287663,0.06191781204994594,0.06275711981492622,0.06211713102654876,0.3341348945166148,0.029129064605124783,0.0005548805831475277,0.00014973351590427604
26,190.9604244709015,2.2626888751983643,0.0618638929014451,0.06185710619543201,4,50,2.5,48,"{'cl': 4, 'epochs': 50, 'k': 2.5, 'n': 48}",7,0.06148596094033428,0.06158871558782096,0.06155870666849279,0.061838552355766296,0.06117920218923382,0.06182061031321499,0.06233077510216526,0.06192006971513,0.06276481960699937,0.062117583005227774,0.8011457895841706,0.057122741044067726,0.0005889686737902535,0.00017060028481400924
25,115.94507851600648,2.097471809387207,0.055827700346708295,0.05582098500611625,4,50,2.5,32,"{'cl': 4, 'epochs': 50, 'k': 2.5, 'n': 32}",8,0.05550448307506392,0.055461001556331865,0.055603009448430246,0.055876800668573826,0.055193518018611123,0.055767502217927825,0.056193467751841676,0.05589273812197079,0.056644023439594515,0.056106882465777,0.6223647973791971,0.02519365503467936,0.0005210205017782525,0.00021092640802040713
24,68.70295934677124,1.926163673400879,0.035398648024719453,0.03539271551732705,4,50,2.5,16,"{'cl': 4, 'epochs': 50, 'k': 2.5, 'n': 16}",9,0.03539715212917773,0.03518229966687265,0.03534095636873602,0.03532064225629111,0.03500406820083333,0.035352134328579234,0.035690035566548324,0.03546154042967012,0.035561027858301855,0.03564696090522213,0.2279697173943736,0.030447736362341413,0.00023250708039924644,0.00015523775557765667
9,48.25171585083008,0.8410775661468506,0.022640609010079197,0.022631191420499408,3,50,1.5,16,"{'cl': 3, 'epochs': 50, 'k': 1.5, 'n': 16}",10,0.022905218371442545,0.02244206397820299,0.022593368314833284,0.02254249635979394,0.0226758021478341,0.02252933238502418,0.02259833553684092,0.02273036229694001,0.022430320679445132,0.022911702082535932,0.04470690686848897,0.02002297602486397,0.00015459403797945173,0.00016883859782718078
